"Gene" "gene_type" 
"Rv0710" FALSE
"Rv0711" FALSE
"Rv0712" FALSE
"Rv0713" FALSE
"Rv0721" FALSE
"Rv0723" FALSE
"Rv0724" FALSE
"Rv0724A" FALSE
"Rv0725c" FALSE
"Rv0726c" FALSE
"Rv0727c" FALSE
"Rv0728c" FALSE
"Rv0729" FALSE
"Rv0730" FALSE
"Rv0731c" FALSE
"Rv0732" FALSE
"Rv0733" FALSE
"Rv0734" FALSE
"Rv0735" FALSE
"Rv0736" FALSE
"Rv0737" FALSE
"Rv0738" FALSE
"Rv0739" FALSE
"Rv0740" FALSE
"Rv0741" FALSE
"Rv0742" FALSE
"Rv0743c" FALSE
"Rv0744c" FALSE
"Rv0745" FALSE
"Rv0746" FALSE
"Rv0747" FALSE
"Rv0748" FALSE
"Rv0749" FALSE
"Rv0749A" FALSE
"Rv0750" FALSE
"Rv0751c" FALSE
"Rv0752c" FALSE
"Rv0753c" FALSE
"Rv0754" FALSE
"Rv0755A" FALSE
"Rv0755c" FALSE
"Rv0756c" FALSE
"Rv0757" FALSE
"Rv0758" FALSE
"Rv0759c" FALSE
"Rv0760c" FALSE
"Rv0761c" FALSE
"Rv0762c" FALSE
"Rv0763c" FALSE
"Rv0764c" FALSE
"Rv0765c" FALSE
"Rv0766c" FALSE
"Rv0767c" FALSE
"Rv0768" FALSE
"Rv0769" FALSE
"Rv0770" FALSE
"Rv0771" FALSE
"Rv0773c" FALSE
"Rv0774c" FALSE
"Rv0775" FALSE
"Rv0776c" FALSE
"Rv0778" FALSE
"Rv0779c" FALSE
"Rv0781" FALSE
"Rv0782" FALSE
"Rv0783c" FALSE
"Rv0784" FALSE
"Rv0785" FALSE
"Rv0786c" FALSE
"Rv0787" FALSE
"Rv0789c" FALSE
"Rv0790c" FALSE
"Rv0791c" FALSE
"Rv0792c" FALSE
"Rv0793" FALSE
"Rv0794c" FALSE
"Rv0795" FALSE
"Rv0796" FALSE
"Rv0797" FALSE
"Rv0798c" FALSE
"Rv0799c" FALSE
"Rv0800" FALSE
"Rv0801" FALSE
"Rv0802c" FALSE
"Rv0804" FALSE
"Rv0805" FALSE
"Rv0806c" FALSE
"Rv0807" FALSE
"Rv0808" FALSE
"Rv0809" FALSE
"Rv0810c" FALSE
"Rv0812" FALSE
"Rv0813c" FALSE
"Rv0814c" FALSE
"Rv0815c" FALSE
"Rv0816c" FALSE
"Rv0818" FALSE
"Rv0819" FALSE
"Rv0820" FALSE
"Rv0821c" FALSE
"Rv0822c" FALSE
"Rv0823c" FALSE
"Rv0824c" FALSE
"Rv0825c" FALSE
"Rv0826" FALSE
"Rv0827c" FALSE
"Rv0828c" FALSE
"Rv0829" FALSE
"Rv0830" FALSE
"Rv0831c" FALSE
"Rv0832" FALSE
"Rv0833" FALSE
"Rv0834c" FALSE
"Rv0835" FALSE
"Rv0836c" FALSE
"Rv0837c" FALSE
"Rv0838" FALSE
"Rv0839" FALSE
"Rv0840c" FALSE
"Rv0841" FALSE
"Rv0842" FALSE
"Rv0843" FALSE
"Rv0844c" FALSE
"Rv0845" FALSE
"Rv0846c" FALSE
"Rv0847" FALSE
"Rv0848" FALSE
"Rv0849" FALSE
"Rv0850" FALSE
"Rv0851c" FALSE
"Rv0852" FALSE
"Rv0853c" FALSE
"Rv0854" FALSE
"Rv0855" FALSE
"Rv0856" FALSE
"Rv0857" FALSE
"Rv0858c" FALSE
"Rv0859" FALSE
"Rv0860" FALSE
"Rv0861c" FALSE
"Rv0862c" FALSE
"Rv0863" FALSE
"Rv0864" FALSE
"Rv0865" FALSE
"Rv0866" FALSE
"Rv0867c" FALSE
"Rv0868c" FALSE
"Rv0869c" FALSE
"Rv0870c" FALSE
"Rv0871" FALSE
"Rv0872c" FALSE
"Rv0873" FALSE
"Rv0874c" FALSE
"Rv0875c" FALSE
"Rv0876c" FALSE
"Rv0877" FALSE
"Rv0878c" FALSE
"Rv0879c" FALSE
"Rv0880" FALSE
"Rv0881" FALSE
"Rv0885" FALSE
"Rv0886" FALSE
"Rv0887c" FALSE
"Rv0888" FALSE
"Rv0889c" FALSE
"Rv0890c" FALSE
"Rv0891c" FALSE
"Rv0892" FALSE
"Rv0893c" FALSE
"Rv0894" FALSE
"Rv0895" FALSE
"Rv0896" FALSE
"Rv0897c" FALSE
"Rv0898c" FALSE
"Rv0899" FALSE
"Rv0900" FALSE
"Rv0901" FALSE
"Rv0902c" FALSE
"Rv0903c" FALSE
"Rv0904c" FALSE
"Rv0905" FALSE
"Rv0906" FALSE
"Rv0907" FALSE
